ID,bicycle,bus,car,e_scooter,light_rail,other,regional_train,train,walk
141,0.0,0.0,0.0,0.0,0.0,0.0,16.42,0.0,0.36
142,0.0,0.0,9.42,0.0,0.0,0.0,7.91,0.0,0.21
143,0.0,0.0,42.22,0.0,0.0,0.0,0.0,0.0,0.04
144,0.0,0.0,29.78,0.0,0.0,0.0,0.0,0.0,0.04
145,0.0,0.0,0.0,0.0,0.0,0.0,14.280000000000001,0.0,0.38
146,0.0,0.0,0.11,0.0,0.0,0.0,14.350000000000001,0.0,0.41000000000000003
147,0.0,0.0,19.92,0.0,0.0,0.0,0.0,0.0,0.08
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
149,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
150,0.0,0.0,18.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0
151,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
152,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
153,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.08
154,0.0,0.0,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
155,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.04
156,0.44,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.11
157,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.44,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.31000000000000005
159,1.47,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.11
160,0.41000000000000003,0.0,4.58,0.0,0.0,0.0,0.0,0.0,0.02
161,0.0,0.0,18.94,0.0,0.0,0.0,0.0,0.0,0.09
162,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.06
163,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.05
164,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.09
165,0.5,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.28
166,0.0,0.0,21.14,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.060000000000000005
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
170,0.53,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04
171,0.0,0.0,14.63,0.0,0.0,0.0,0.0,0.0,0.0
172,0.41000000000000003,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1
173,0.6200000000000001,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.03
